seq_id	sample	nread
LPASA1314-22	G4FG95	17
LPASA1315-22	G4FG95	32
LPASA1316-22	G4FG95	38
LPASA1317-22	G4FG95	38
LPASA1318-22	G4FG95	30
LPASA1319-22	G4FG95	37
LPASA1320-22	G4FG95	23
LPASA1321-22	G4FG95	27
LPASA1322-22	G4FG95	28
LPASA1323-22	G4FG95	22
LPASA1324-22	G4FG95	22
LPASA1325-22	G4FG95	23
LPASA1326-22	G4FG95	38
LPASA1327-22	G4FG95	26
LPASA1328-22	G4FG95	26
LPASA1329-22	G4FG95	27
LPASA1330-22	G4FG95	37
LPASA1331-22	G4FG95	23
LPASA1332-22	G4FG95	37
LPASA1333-22	G4FG95	22
LPASA1334-22	G4FG95	23
LPASA1335-22	G4FG95	29
LPASA1336-22	G4FG95	11
LPASA1337-22	G4FG95	27
LPASA1338-22	G4FG95	30
LPASA1339-22	G4FG95	32
LPASA1340-22	G4FG95	22
LPASA1341-22	G4FG95	27
LPASA1342-22	G4FG95	27
LPASA1343-22	G4FG95	31
LPASA1344-22	G4FG95	33
LPASA1345-22	G4FG95	26
LPASA1346-22	G4FG95	26
LPASA1347-22	G4FG95	6
LPASA1348-22	G4FG95	35
LPASA1349-22	G4FG95	17
LPASA1350-22	G4FG95	27
LPASA1351-22	G4FG95	35
LPASA1352-22	G4FG95	28
LPASA1353-22	G4FG95	30
LPASA1354-22	G4FG95	34
LPASA1355-22	G4FG95	25
LPASA1356-22	G4FG95	31
LPASA1357-22	G4FG95	36
LPASA1358-22	G4FG95	36
LPASA1359-22	G4FG95	30
LPASA1360-22	G4FG95	30
LPASA1361-22	G4FG95	24
LPASA1362-22	G4FG95	32
LPASA1363-22	G4FG95	36
LPASA1364-22	G4FG95	35
LPASA1365-22	G4FG95	32
LPASA1366-22	G4FG95	30
LPASA1367-22	G4FG95	26
LPASA1368-22	G4FG95	40
LPASA1369-22	G4FG95	26
LPASA1370-22	G4FG95	28
LPASA1371-22	G4FG95	33
LPASA1372-22	G4FG95	5
LPASA1373-22	G4FG95	32
LPASA1374-22	G4FG95	36
LPASA1375-22	G4FG95	41
LPASA1376-22	G4FG95	33
LPASA1377-22	G4FG95	21
LPASA1378-22	G4FG95	22
LPASA1379-22	G4FG95	29
LPASA1380-22	G4FG95	23
LPASA1381-22	G4FG95	38
LPASA1382-22	G4FG95	13
LPASA1384-22	G4FG95	36
LPASA1385-22	G4FG95	11
LPASA1386-22	G4FG95	36
LPASA1387-22	G4FG95	40
LPASA1388-22	G4FG95	40
LPASA1389-22	G4FG95	11
LPASA1390-22	G4FG95	9
LPASA1391-22	G4FG95	29
LPASA1392-22	G4FG95	29
LPASA1393-22	G4FG95	28
LPASA1394-22	G4FG95	25
LPASA1395-22	G4FG95	6
LPASA1396-22	G4FG95	32
LPASA1397-22	G4FG95	23
LPASA1398-22	G4FG95	32
LPASA1399-22	G4FG95	20
LPASA1400-22	G4FG95	20
LPASA1401-22	G4FG95	30
LPASA1402-22	G4FG95	8
LPASA1403-22	G4FG95	33
LPASA1404-22	G4FG95	29
LPASA1405-22	G4FG95	17
LPASA1406-22	G4FG95	27
LPASA1407-22	G4FG95	19
LPASA1408-22	G4FG95	7
LPASA1409-22	G4FG95	26
LPASA1410-22	G4FG95	22
LPASA1411-22	G4FG95	24
LPASA1412-22	G4FG95	26
LPASA1413-22	G4FG95	31
LPASA1414-22	G4FG95	19
LPASA1415-22	G4FG95	22
LPASA1416-22	G4FG95	11
LPASA1417-22	G4FG95	19
LPASA1418-22	G4FG95	29
LPASA1419-22	G4FG95	16
LPASA1420-22	G4FG95	26
LPASA1421-22	G4FG95	14
LPASA1422-22	G4FG95	18
LPASA1423-22	G4FG95	29
LPASA1424-22	G4FG95	24
LPASA1425-22	G4FG95	16
LPASA1426-22	G4FG95	22
LPASA1427-22	G4FG95	22
LPASA1428-22	G4FG95	18
LPASA1429-22	G4FG95	29
LPASA1430-22	G4FG95	33
LPASA1431-22	G4FG95	30
LPASA1432-22	G4FG95	29
LPASA1433-22	G4FG95	44
LPASA1434-22	G4FG95	32
LPASA1435-22	G4FG95	23
LPASA1436-22	G4FG95	39
LPASA1437-22	G4FG95	28
LPASA1438-22	G4FG95	23
LPASA1439-22	G4FG95	22
LPASA1440-22	G4FG95	22
LPASA1441-22	G4FG95	28
LPASA1442-22	G4FG95	26
LPASA1443-22	G4FG95	25
LPASA1444-22	G4FG95	40
LPASA1445-22	G4FG95	29
LPASA1446-22	G4FG95	24
