seqrun	sample	neg_control	cut_R2	fastq_R1	fastq_R2
BIONAME_LifePlan_batch1_2023_L002	SL2CBS_Rep2	FALSE	0	BIONAME_LifePlan_batch1_2023/data/LIFEP-GSSP-2-SL2CBS_S1862_L002_R1_001.fastq.gz	BIONAME_LifePlan_batch1_2023/data/LIFEP-GSSP-2-SL2CBS_S1862_L002_R2_001.fastq.gz
BIONAME_LifePlan_batch1_2023_L002	SL4D19_Rep2	FALSE	0	BIONAME_LifePlan_batch1_2023/data/LIFEP-GSSP-2-SL4D19_S2284_L002_R1_001.fastq.gz	BIONAME_LifePlan_batch1_2023/data/LIFEP-GSSP-2-SL4D19_S2284_L002_R2_001.fastq.gz
BIONAME_LifePlan_batch1_2023_L002	SL4E8S_Rep2	FALSE	0	BIONAME_LifePlan_batch1_2023/data/LIFEP-GSSP-2-SL4E8S_S2721_L002_R1_001.fastq.gz	BIONAME_LifePlan_batch1_2023/data/LIFEP-GSSP-2-SL4E8S_S2721_L002_R2_001.fastq.gz
BIONAME_LifePlan_batch1_2023_L002	SL4XDZ_Rep2	FALSE	0	BIONAME_LifePlan_batch1_2023/data/LIFEP-GSSP-2-SL4XDZ_S2417_L002_R1_001.fastq.gz	BIONAME_LifePlan_batch1_2023/data/LIFEP-GSSP-2-SL4XDZ_S2417_L002_R2_001.fastq.gz
BIONAME_LifePlan_batch1_2023_L002	SL54JD_Rep2	FALSE	0	BIONAME_LifePlan_batch1_2023/data/LIFEP-GSSP-2-SL54JD_S2158_L002_R1_001.fastq.gz	BIONAME_LifePlan_batch1_2023/data/LIFEP-GSSP-2-SL54JD_S2158_L002_R2_001.fastq.gz
BIONAME_LifePlan_batch1_2023_L002	SL55JC_Rep2	FALSE	0	BIONAME_LifePlan_batch1_2023/data/LIFEP-GSSP-2-SL55JC_S2274_L002_R1_001.fastq.gz	BIONAME_LifePlan_batch1_2023/data/LIFEP-GSSP-2-SL55JC_S2274_L002_R2_001.fastq.gz
BIONAME_LifePlan_batch1_2023_L002	SL8KLL_Rep2	FALSE	0	BIONAME_LifePlan_batch1_2023/data/LIFEP-GSSP-2-SL8KLL_S2177_L002_R1_001.fastq.gz	BIONAME_LifePlan_batch1_2023/data/LIFEP-GSSP-2-SL8KLL_S2177_L002_R2_001.fastq.gz
BIONAME_LifePlan_batch1_2023_L002	SL8NZR_Rep2	FALSE	0	BIONAME_LifePlan_batch1_2023/data/LIFEP-GSSP-2-SL8NZR_S2087_L002_R1_001.fastq.gz	BIONAME_LifePlan_batch1_2023/data/LIFEP-GSSP-2-SL8NZR_S2087_L002_R2_001.fastq.gz
BIONAME_LifePlan_batch1_2023_L002	SLA4NT_Rep2	FALSE	0	BIONAME_LifePlan_batch1_2023/data/LIFEP-GSSP-2-SLA4NT_S1634_L002_R1_001.fastq.gz	BIONAME_LifePlan_batch1_2023/data/LIFEP-GSSP-2-SLA4NT_S1634_L002_R2_001.fastq.gz
BIONAME_LifePlan_batch1_2023_L002	SLAOFO_Rep2	FALSE	0	BIONAME_LifePlan_batch1_2023/data/LIFEP-GSSP-2-SLAOFO_S1765_L002_R1_001.fastq.gz	BIONAME_LifePlan_batch1_2023/data/LIFEP-GSSP-2-SLAOFO_S1765_L002_R2_001.fastq.gz
BIONAME_LifePlan_batch1_2023_L002	SLBJ4G_Rep2	FALSE	0	BIONAME_LifePlan_batch1_2023/data/LIFEP-GSSP-2-SLBJ4G_S2297_L002_R1_001.fastq.gz	BIONAME_LifePlan_batch1_2023/data/LIFEP-GSSP-2-SLBJ4G_S2297_L002_R2_001.fastq.gz
BIONAME_LifePlan_batch1_2023_L002	SLBN2G_Rep2	FALSE	0	BIONAME_LifePlan_batch1_2023/data/LIFEP-GSSP-2-SLBN2G_S2540_L002_R1_001.fastq.gz	BIONAME_LifePlan_batch1_2023/data/LIFEP-GSSP-2-SLBN2G_S2540_L002_R2_001.fastq.gz
BIONAME_LifePlan_batch1_2023_L002	SLC1Z6_Rep2	FALSE	0	BIONAME_LifePlan_batch1_2023/data/LIFEP-GSSP-2-SLC1Z6_S1771_L002_R1_001.fastq.gz	BIONAME_LifePlan_batch1_2023/data/LIFEP-GSSP-2-SLC1Z6_S1771_L002_R2_001.fastq.gz
BIONAME_LifePlan_batch1_2023_L002	SLCNRY_Rep2	FALSE	0	BIONAME_LifePlan_batch1_2023/data/LIFEP-GSSP-2-SLCNRY_S2081_L002_R1_001.fastq.gz	BIONAME_LifePlan_batch1_2023/data/LIFEP-GSSP-2-SLCNRY_S2081_L002_R2_001.fastq.gz
BIONAME_LifePlan_batch1_2023_L002	SLD83P_Rep2	FALSE	0	BIONAME_LifePlan_batch1_2023/data/LIFEP-GSSP-2-SLD83P_S1980_L002_R1_001.fastq.gz	BIONAME_LifePlan_batch1_2023/data/LIFEP-GSSP-2-SLD83P_S1980_L002_R2_001.fastq.gz
BIONAME_LifePlan_batch1_2023_L002	SLE4NK_Rep2	FALSE	0	BIONAME_LifePlan_batch1_2023/data/LIFEP-GSSP-2-SLE4NK_S1811_L002_R1_001.fastq.gz	BIONAME_LifePlan_batch1_2023/data/LIFEP-GSSP-2-SLE4NK_S1811_L002_R2_001.fastq.gz
